Called with a command name
Number,PID,microseconds
599,83911,30264
600,83911,69730
601,83911,30224
602,83911,69819
603,83911,30161
604,83911,69845
605,83911,30120
606,83911,30583
607,83911,39311
608,83911,30072
609,83911,69956
610,83911,30035
611,83911,69974
612,83911,29985
613,83911,70020
614,83911,29934
615,83911,70079
616,83911,21669
617,83911,7304
618,83911,881
619,83911,36772
620,83911,33328
621,83911,29858
622,83911,70032
623,83911,124
624,83911,29801
625,83911,70193
626,83911,29777
627,83911,70246
628,83911,29674
629,83911,70271
630,83911,29661
631,83911,29626
632,83911,9328
633,83911,10001
634,83911,9993
635,83911,10734
636,83911,25896
637,83911,3693
638,83911,70404
639,83911,29552
640,83911,70476
641,83911,29491
642,83911,9364
643,83911,18
644,83911,61124
645,83911,29444
646,83911,70569
647,83911,29400
648,83911,22521
649,83911,47642
650,83911,29334
651,83911,70669
652,83911,29316
653,83911,35649
654,83911,35030
655,83911,29276
656,83911,70744
657,83911,29244
658,83911,70785
659,83911,29184
660,83911,70836
661,83911,29119
662,83911,61928
663,83911,8946
664,83911,29083
665,83911,41827
666,83911,29101
667,83911,29036
668,83911,70992
669,83911,28984
670,83911,71044
671,83911,19377
672,83911,7067
673,83911,174
674,83911,133
675,83911,1579
676,83911,14146
677,83911,176
678,83911,10400
679,83911,9994
680,83911,9964
681,83911,26193
682,83911,17114
683,83911,18
684,83911,3196
685,83911,8425
686,83911,1473
687,83911,9978
688,83911,10001
689,83911,24
690,83911,9961
691,83911,39668
692,83911,28834
693,83911,71177
694,83911,28784
695,83911,71226
696,83911,28731
697,83911,71197
698,83911,28756
699,83911,24466
700,83911,9985
701,83911,9996
702,83911,9997
703,83911,16797
704,83911,28714
705,83911,71307
706,83911,28665
707,83911,27565
708,83911,43777
709,83911,6903
710,83911,21706
711,83911,71423
712,83911,28547
713,83911,40732
714,83911,30745
715,83911,18080
716,83911,7137
717,83911,3232
718,83911,20639
719,83911,50914
720,83911,28428
721,83911,53875
722,83911,17219
723,83911,28377
724,83911,71649
725,83911,28329
726,83911,67037
727,83911,4648
728,83911,28291
729,83911,65750
730,83911,5841
731,83911,28278
732,83911,30121
733,83911,9970
734,83911,13346
735,83911,10006
736,83911,8281
737,83911,1656
738,83911,6670
739,83911,19883
740,83911,71786
741,83911,28174
742,83911,71829
743,83911,28121
744,83911,71890
745,83911,28073
746,83911,71981
747,83911,16670
748,83911,7152
749,83911,555
750,83911,3487
751,83911,72040
752,83911,27921
753,83911,72107
754,83911,27883
755,83911,19531
756,83911,52582
757,83911,27823
758,83911,72195
759,83911,27763
760,83911,72251
761,83911,27714
762,83911,22521
763,83911,9983
764,83911,39782
765,83911,27663
766,83911,45744
767,83911,26596
768,83911,26714
769,83911,903
770,83911,72334
771,83911,8566
772,83911,105
773,83911,220
774,83911,18460
775,83911,58866
776,83911,23
777,83911,13447
778,83911,27572
779,83911,72445
780,83911,15302
781,83911,7151
782,83911,5032
783,83911,72024
784,83911,22
785,83911,27452
786,83911,72558
787,83911,27403
788,83911,72642
789,83911,27309
790,83911,72719
791,83911,20671
792,83911,6546
793,83911,72774
794,83911,27180
795,83911,72782
796,83911,27150
797,83911,7627
798,83911,18
799,83911,65137
800,83911,27064
801,83911,11271
802,83911,46676
803,83911,6647
804,83911,3328
805,83911,4985
806,83911,4961

PID,Count,Min,Average,Max
83911,807,8,23526,72782
